index	family	c	k	pattern	selector	H	exterior	pairs	rows
216	C77	9	0	BO	13461	15,16,17,18,19,20,21,22,23	32	496	1488
217	C77	9	0	OO	13462	15,16,17,18,19,20,21,22,23	32	496	1488
218	C77	9	1	BB	13463	2,15,16,17,18,19,20,21,22	32	496	1488
219	C77	9	1	BO	13464	2,15,16,17,18,19,20,21,22	32	496	1488
220	C77	9	1	OO	13465	2,15,16,17,18,19,20,21,22	32	496	1488
221	C77	9	2	BB	13466	2,3,15,16,17,18,19,20,21	32	496	1488
222	C77	9	2	BO	13467	2,3,15,16,17,18,19,20,21	32	496	1488
223	C77	9	2	OO	13468	2,3,15,16,17,18,19,20,21	32	496	1488
224	C77	9	3	BB	13469	2,3,4,15,16,17,18,19,20	32	496	1488
225	C77	9	3	BO	13470	2,3,4,15,16,17,18,19,20	32	496	1488
226	C77	9	3	OO	13471	2,3,4,15,16,17,18,19,20	32	496	1488
227	C77	9	4	BB	13472	2,3,4,5,15,16,17,18,19	32	496	1488
228	C77	9	4	BO	13473	2,3,4,5,15,16,17,18,19	32	496	1488
229	C77	9	4	OO	13474	2,3,4,5,15,16,17,18,19	32	496	1488
230	C77	9	5	BB	13475	2,3,4,5,6,15,16,17,18	32	496	1488
231	C77	9	5	BO	13476	2,3,4,5,6,15,16,17,18	32	496	1488
232	C77	9	5	OO	13477	2,3,4,5,6,15,16,17,18	32	496	1488
233	C77	9	6	BB	13478	2,3,4,5,6,7,15,16,17	32	496	1488
234	C77	9	6	BO	13479	2,3,4,5,6,7,15,16,17	32	496	1488
235	C77	9	6	OO	13480	2,3,4,5,6,7,15,16,17	32	496	1488
236	C77	10	0	BB	13481	15,16,17,18,19,20,21,22,23,24	31	465	1395
237	C77	10	0	BO	13482	15,16,17,18,19,20,21,22,23,24	31	465	1395
238	C77	10	0	OO	13483	15,16,17,18,19,20,21,22,23,24	31	465	1395
239	C77	10	1	BB	13484	2,15,16,17,18,19,20,21,22,23	31	465	1395
240	C77	10	1	BO	13485	2,15,16,17,18,19,20,21,22,23	31	465	1395
241	C77	10	1	OO	13486	2,15,16,17,18,19,20,21,22,23	31	465	1395
242	C77	10	2	BB	13487	2,3,15,16,17,18,19,20,21,22	31	465	1395
243	C77	10	2	BO	13488	2,3,15,16,17,18,19,20,21,22	31	465	1395
244	C77	10	2	OO	13489	2,3,15,16,17,18,19,20,21,22	31	465	1395
245	C77	10	3	BB	13490	2,3,4,15,16,17,18,19,20,21	31	465	1395
246	C77	10	3	BO	13491	2,3,4,15,16,17,18,19,20,21	31	465	1395
247	C77	10	3	OO	13492	2,3,4,15,16,17,18,19,20,21	31	465	1395
248	C77	10	4	BB	13493	2,3,4,5,15,16,17,18,19,20	31	465	1395
249	C77	10	4	BO	13494	2,3,4,5,15,16,17,18,19,20	31	465	1395
250	C77	10	4	OO	13495	2,3,4,5,15,16,17,18,19,20	31	465	1395
251	C77	10	5	BB	13496	2,3,4,5,6,15,16,17,18,19	31	465	1395
252	C77	10	5	BO	13497	2,3,4,5,6,15,16,17,18,19	31	465	1395
253	C77	10	5	OO	13498	2,3,4,5,6,15,16,17,18,19	31	465	1395
254	C77	10	6	BB	13499	2,3,4,5,6,7,15,16,17,18	31	465	1395
255	C77	10	6	BO	13500	2,3,4,5,6,7,15,16,17,18	31	465	1395
256	C77	10	6	OO	13501	2,3,4,5,6,7,15,16,17,18	31	465	1395
257	C77	11	0	BB	13502	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
258	C77	11	0	BO	13503	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
259	C77	11	0	OO	13504	15,16,17,18,19,20,21,22,23,24,25	30	435	1305
260	C77	11	1	BB	13505	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
261	C77	11	1	BO	13506	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
262	C77	11	1	OO	13507	2,15,16,17,18,19,20,21,22,23,24	30	435	1305
263	C77	11	2	BB	13508	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
264	C77	11	2	BO	13509	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
265	C77	11	2	OO	13510	2,3,15,16,17,18,19,20,21,22,23	30	435	1305
266	C77	11	3	BB	13511	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
267	C77	11	3	BO	13512	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
268	C77	11	3	OO	13513	2,3,4,15,16,17,18,19,20,21,22	30	435	1305
269	C77	11	4	BB	13514	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
270	C77	11	4	BO	13515	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
271	C77	11	4	OO	13516	2,3,4,5,15,16,17,18,19,20,21	30	435	1305
272	C77	11	5	BB	13517	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
273	C77	11	5	BO	13518	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
274	C77	11	5	OO	13519	2,3,4,5,6,15,16,17,18,19,20	30	435	1305
275	C77	11	6	BB	13520	2,3,4,5,6,7,15,16,17,18,19	30	435	1305
276	C77	11	6	BO	13521	2,3,4,5,6,7,15,16,17,18,19	30	435	1305
277	C77	11	6	OO	13522	2,3,4,5,6,7,15,16,17,18,19	30	435	1305
278	C77	12	0	BB	13523	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
279	C77	12	0	BO	13524	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
280	C77	12	0	OO	13525	15,16,17,18,19,20,21,22,23,24,25,26	29	406	1218
281	C77	12	1	BB	13526	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
282	C77	12	1	BO	13527	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
283	C77	12	1	OO	13528	2,15,16,17,18,19,20,21,22,23,24,25	29	406	1218
284	C77	12	2	BB	13529	2,3,15,16,17,18,19,20,21,22,23,24	29	406	1218
