q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	17	1	001241	000001	efffffe00b55355a55522	cd0ad52dd2d2282777777
5	17	2	001241	000001	efffff3f5355355ad5525	cdf5d5ddddd22d2777777
5	17	3	001241	000001	bffaff300355355a55a22	cd0ad5dddd27277277777
5	17	4	001241	000001	bffaff300355355a55a22	cd0ad5ddd872772772777
5	17	5	001241	000001	3fff5f35f3553d5a25a25	1dfddfdd5d2582d777777
37	0	0	03ffff	0bffff	cccccce1ee43b66666755	eceec1ec1191343666767
37	0	1	03ffff	0bffff	cccccceee133666666755	c1c911e41e33e36b66867
37	0	2	03ffff	0bffff	cccccee1be63163666755	c1cc1c949e3ee6e161767
37	0	3	03ffff	0bffff	cecce1eb41b3636636755	cbccbce4e131161666767
37	0	4	03ffff	0bffff	cecce1eb41b3636636755	ceccecc1c434666666767
37	0	5	03ffff	0bffff	ccccc1ee3e36366666755	cccccc913916e46e66267
37	1	0	07cfbf	1fffff	cccccc7ebce6756616625	cccc1ce11e31b66366666
37	1	1	07cfbf	1fffff	9cc9c17e3ee3756e36175	cccce1cb4e33166166666
37	1	2	07cfbf	1fffff	9cc9c17e3ee3756e36175	ccccccee1eb4166166166
37	1	3	07cfbf	1fffff	cccece7b1e31753666675	cccc1ec41e43b63666666
37	1	4	07cfbf	1fffff	cccece7b1e31753666675	ccccb1941e34b63663666
37	1	5	07cfbf	1fffff	cece1c73ce3e756166675	ccccccc94e16e66166366
37	2	0	07cfdf	1fffff	ccce95e1e14e77b16b375	cccc1e941e31e63663666
37	2	1	07cfdf	1fffff	cccc95eee1e3773616675	ccce9ceb4163163166366
37	2	2	07cfdf	1fffff	cccc95eee1e3773616675	ccccccc11c66e66e66166
37	2	3	07cfdf	1fffff	c9ebe541e31e77b313675	ccccc1ce14b3366666666
37	2	4	07cfdf	1fffff	c9ebe541e31e77b313675	ccccc4ce41b3366666666
37	2	5	07cfdf	1fffff	cceec51933937236e6675	ccccccc91c16e66366666
37	3	0	07fdff	07ffff	cccccce1e743e66b66655	ceece1ce1911433666677
37	3	1	07fdff	07ffff	cccccceee733166666655	1cc1914e13e33e66b6687
37	3	2	07fdff	07ffff	cccccee1b763e63166655	cccceecee911166166477
37	3	3	07fdff	07ffff	cecce1eb47b3136636655	cccce19b4e33166166677
37	3	4	07fdff	07ffff	cecce1eb47b3136636655	cccce19e1b33466466677
37	3	5	07fdff	07ffff	ccccc1ee3736e66366655	ccccce9e19e3166166477
37	4	0	0affff	0effff	cccccce1ee43b66656765	ceece1ce1911433676667
37	4	1	0affff	0effff	cccccceee133666656765	1cc1914e13e33e66866b7
37	4	2	0affff	0effff	cccccee1be63163656765	cccceecee911166176467
37	4	3	0affff	0effff	cecce1eb41b3636656735	cccce19b4e33166176667
37	4	4	0affff	0effff	cecce1eb41b3636656735	cccce19e1b33466476667
37	4	5	0affff	0effff	ccccc1ee3e36366656765	ccccce9e19e3166176467
37	5	0	0bd7bf	1fffff	ccccce79ec6067e661765	ccccc1e11e13b66366666
37	5	1	0bd7bf	1fffff	ccc9ec71ee35e76136765	cccccc936e36136166666
37	5	2	0bd7bf	1fffff	ccc9ec71ee35e76136765	ccc9ccec9e36136166166
37	5	3	0bd7bf	1fffff	c9ceeb7eb115373613765	cccc1ec1b13b436666666
37	5	4	0bd7bf	1fffff	c9ceeb7eb115373613765	cccce4ce41b3463666666
37	5	5	0bd7bf	1fffff	ece39e21e31067b61b745	ccccccccce11666666666
37	6	0	0bd7ef	1fffff	ccce7ee9e11517b34b765	cccc1e941e31e63663666
37	6	1	0bd7ef	1fffff	cccc7ee931e56736e6715	ccce9ceb4163163166366
37	6	2	0bd7ef	1fffff	cccc7ee931e56736e6715	ccccccc11c66e66e66166
37	6	3	0bd7ef	1fffff	c9eb7e4ee31537b613715	ccccc1ce14b3366666666
37	6	4	0bd7ef	1fffff	c9eb7e4ee31537b613715	ccccc4ce41b3366666666
37	6	5	0bd7ef	1fffff	ccee231c33956736967e5	ccccccc91c16e66366666
37	7	0	0dbfff	0fbfff	cccccebeb4e6315615667	cc9c1ee11e31b67361667
37	7	1	0dbfff	0fbfff	ccecc19c3ee3635665667	cccce1cb1e36167166667
37	7	2	0dbfff	0fbfff	ccecc19c3ee3635665667	ccccc9ee1eb1167166167
