index	family	c	k	pattern	selector	H	exterior	E_columns	C_columns	rows
192	C8	12	2	O	13437	2,3,15,16,17,18,19,20,21,22,23,24	29	2	10	24
193	C8	12	3	B	13438	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
194	C8	12	3	O	13439	2,3,4,15,16,17,18,19,20,21,22,23	29	3	9	24
195	C8	12	4	B	13440	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
196	C8	12	4	O	13441	2,3,4,5,15,16,17,18,19,20,21,22	29	4	8	24
197	C8	12	5	B	13442	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
198	C8	12	5	O	13443	2,3,4,5,6,15,16,17,18,19,20,21	29	5	7	24
199	C8	12	6	B	13444	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
200	C8	12	6	O	13445	2,3,4,5,6,7,15,16,17,18,19,20	29	6	6	24
201	C8	13	0	B	13446	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
202	C8	13	0	O	13447	15,16,17,18,19,20,21,22,23,24,25,26,27	28	0	13	26
203	C8	13	1	B	13448	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
204	C8	13	1	O	13449	2,15,16,17,18,19,20,21,22,23,24,25,26	28	1	12	26
205	C8	13	2	B	13450	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
206	C8	13	2	O	13451	2,3,15,16,17,18,19,20,21,22,23,24,25	28	2	11	26
207	C8	13	3	B	13452	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
208	C8	13	3	O	13453	2,3,4,15,16,17,18,19,20,21,22,23,24	28	3	10	26
209	C8	13	4	B	13454	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
210	C8	13	4	O	13455	2,3,4,5,15,16,17,18,19,20,21,22,23	28	4	9	26
211	C8	13	5	B	13456	2,3,4,5,6,15,16,17,18,19,20,21,22	28	5	8	26
212	C8	13	5	O	13457	2,3,4,5,6,15,16,17,18,19,20,21,22	28	5	8	26
213	C8	13	6	B	13458	2,3,4,5,6,7,15,16,17,18,19,20,21	28	6	7	26
214	C8	13	6	O	13459	2,3,4,5,6,7,15,16,17,18,19,20,21	28	6	7	26
215	C77	9	0	BB	13460	15,16,17,18,19,20,21,22,23	32	0	9	45
216	C77	9	0	BO	13461	15,16,17,18,19,20,21,22,23	32	0	9	45
217	C77	9	0	OO	13462	15,16,17,18,19,20,21,22,23	32	0	9	45
218	C77	9	1	BB	13463	2,15,16,17,18,19,20,21,22	32	1	8	45
219	C77	9	1	BO	13464	2,15,16,17,18,19,20,21,22	32	1	8	45
220	C77	9	1	OO	13465	2,15,16,17,18,19,20,21,22	32	1	8	45
221	C77	9	2	BB	13466	2,3,15,16,17,18,19,20,21	32	2	7	45
222	C77	9	2	BO	13467	2,3,15,16,17,18,19,20,21	32	2	7	45
223	C77	9	2	OO	13468	2,3,15,16,17,18,19,20,21	32	2	7	45
224	C77	9	3	BB	13469	2,3,4,15,16,17,18,19,20	32	3	6	45
225	C77	9	3	BO	13470	2,3,4,15,16,17,18,19,20	32	3	6	45
226	C77	9	3	OO	13471	2,3,4,15,16,17,18,19,20	32	3	6	45
227	C77	9	4	BB	13472	2,3,4,5,15,16,17,18,19	32	4	5	45
228	C77	9	4	BO	13473	2,3,4,5,15,16,17,18,19	32	4	5	45
229	C77	9	4	OO	13474	2,3,4,5,15,16,17,18,19	32	4	5	45
230	C77	9	5	BB	13475	2,3,4,5,6,15,16,17,18	32	5	4	45
231	C77	9	5	BO	13476	2,3,4,5,6,15,16,17,18	32	5	4	45
232	C77	9	5	OO	13477	2,3,4,5,6,15,16,17,18	32	5	4	45
233	C77	9	6	BB	13478	2,3,4,5,6,7,15,16,17	32	6	3	45
