family	c	k	pattern	third_anchor	pool_size	buckets_after_anchor	ordering_rows	orbit_rows	labeled_rows
C77	11	4	BO	15	7	EHo:4,EAo:2,EBo:2,EOo:5,CHo:6,CAo:7,CBo:6,CBa:1,COo:6,COa:1	30	14706	14666660512
C77	11	4	OO	15	7	EHo:4,EAo:2,EBo:2,EOo:5,CHo:6,CAo:7,CBo:7,COo:5,COa:2	31	10626	14666660512
C77	11	5	BB	15	6	EHo:5,EAo:1,EBo:1,EOo:6,CHo:5,CAo:8,CBo:6,CBa:2,COo:6	31	5714	14842513560
C77	11	5	BO	15	6	EHo:5,EAo:1,EBo:1,EOo:6,CHo:5,CAo:8,CBo:7,CBa:1,COo:5,COa:1	30	7442	14842513560
C77	11	5	OO	15	6	EHo:5,EAo:1,EBo:1,EOo:6,CHo:5,CAo:8,CBo:8,COo:4,COa:2	31	5092	14842513560
C77	11	6	BB	15	5	EHo:6,EOo:7,CHo:4,CAo:9,CBo:7,CBa:2,COo:5	33	1467	15017602082
C77	11	6	BO	15	5	EHo:6,EOo:7,CHo:4,CAo:9,CBo:8,CBa:1,COo:4,COa:1	32	1815	15017602082
C77	11	6	OO	15	5	EHo:6,EOo:7,CHo:4,CAo:9,CBo:9,COo:3,COa:2	33	1166	15017602082
C77	12	0	BB	15	12	EAo:6,EBo:6,EOo:1,CHo:11,CAo:2,CBa:2,COo:12	33	234	8745628320
C77	12	0	BO	15	12	EAo:6,EBo:6,EOo:1,CHo:11,CAo:2,CBo:1,CBa:1,COo:11,COa:1	31	624	8745628320
C77	12	0	OO	15	12	EAo:6,EBo:6,EOo:1,CHo:11,CAo:2,CBo:2,COo:10,COa:2	32	702	8745628320
C77	12	1	BB	15	11	EHo:1,EAo:5,EBo:5,EOo:2,CHo:10,CAo:3,CBo:1,CBa:2,COo:11	31	1488	9162925200
C77	12	1	BO	15	11	EHo:1,EAo:5,EBo:5,EOo:2,CHo:10,CAo:3,CBo:2,CBa:1,COo:10,COa:1	30	2961	9162925200
C77	12	1	OO	15	11	EHo:1,EAo:5,EBo:5,EOo:2,CHo:10,CAo:3,CBo:3,COo:9,COa:2	31	2885	9162925200
C77	12	2	BB	15	10	EHo:2,EAo:4,EBo:4,EOo:3,CHo:9,CAo:4,CBo:2,CBa:2,COo:10	31	4054	9416546568
C77	12	2	BO	15	10	EHo:2,EAo:4,EBo:4,EOo:3,CHo:9,CAo:4,CBo:3,CBa:1,COo:9,COa:1	30	6996	9416546568
C77	12	2	OO	15	10	EHo:2,EAo:4,EBo:4,EOo:3,CHo:9,CAo:4,CBo:4,COo:8,COa:2	31	6174	9416546568
C77	12	3	BB	15	9	EHo:3,EAo:3,EBo:3,EOo:4,CHo:8,CAo:5,CBo:3,CBa:2,COo:9	31	6632	9594006984
C77	12	3	BO	15	9	EHo:3,EAo:3,EBo:3,EOo:4,CHo:8,CAo:5,CBo:4,CBa:1,COo:8,COa:1	30	10424	9594006984
