family	c	k	pattern	E_cells	C_cells	anomalies	root_sha256
E77	12	4	BB	4,2,2,5	8,6,6,8	8,9	c13dcc584ce7901314c070c683124304af724b1acacaf4579dcfcc5742b3d4ba
E77	12	4	BO	4,2,2,5	8,6,6,8	8,10	bc97c96f9dc813b014a8e9523b77547f3739ede479aa567f0ded3198966149e4
E77	12	4	OO	4,2,2,5	8,6,6,8	10,11	e5ce30814bfeb4f7fa5f91e01a75fea6908f635d67bb86808e188340343a754f
E77	12	5	BO	5,1,1,6	7,7,7,7	8,9	6a6d97ffc14ff6571fd3ca467aabcaf0758dd331eb11edfeed299079ec608ea2
E77	12	5	OO	5,1,1,6	7,7,7,7	9,10	5ea9e4256d8f1ed8e0badd276d8445bb23fa01552533d989777c63d543a1881a
E77	12	6	OO	6,0,0,7	6,8,8,6	8,9	febfdf99bc27a7603b1a35afc2fbc97afc8f8490b53d76c17b8f14cec0202d39
E77	13	0	BB	0,6,6,1	13,1,1,13	8,9	8c058de2d2b681617a8eec5bfb7551937074a4d3d45c4668c6448918436439a2
E77	13	0	BO	0,6,6,1	13,1,1,13	8,14	12bd5f278397e4b0a0f36b7255b547dc0b6e6ecbedccbe3e303d22b6e1e0ab14
E77	13	1	BB	1,5,5,2	12,2,2,12	8,9	2fda8dd4f2def19338b3851616912eeb88ac7d41475ecdc8a5652f195b5d34de
E77	13	1	BO	1,5,5,2	12,2,2,12	8,13	4eb522475f1fb3da77d120e2b654a90ec2897b9de4adc21574a6e3783b2e7ffc
E77	13	1	OO	1,5,5,2	12,2,2,12	13,14	e3795b39fe449293775a3efe781faa1652a70a02748a53628bcbe48f6951194d
E77	13	2	BB	2,4,4,3	11,3,3,11	8,9	f6a994325422ad02f031bc92ad8f9d1cdbaf8ac674f7523a09127dbeb6d9d11e
E77	13	2	BO	2,4,4,3	11,3,3,11	8,12	bf7a8709beecd70abd1fd9877d781c82ce6570146808d970ed7b9386bf1d8b85
E77	13	2	OO	2,4,4,3	11,3,3,11	12,13	691a46c405fa8cd68ee5c5925af97f64c7f4201afc6c74332a8ec3d0b8814e5e
E77	13	3	BB	3,3,3,4	10,4,4,10	8,9	ffa3586a53432a9c3e350e729df055478e11c1e7ad391ba442ade9501eca842c
E77	13	3	BO	3,3,3,4	10,4,4,10	8,11	bca6dfdef2dc91fce0508472ee9ed3e62541e068eee2eb8167bd7d18d23cf7bf
E77	13	3	OO	3,3,3,4	10,4,4,10	11,12	56f30d5d5135b0b4bf40e307ab663c0607bdb5dbddc4128b50ad5773cb553f65
E77	13	4	BB	4,2,2,5	9,5,5,9	8,9	1ed7e1988b47bedd800d589166167010047da5793c2959d6c9662aaa52a377e7
E77	13	4	BO	4,2,2,5	9,5,5,9	8,10	ef4caac70218bcd80e944d388f80ec5ad695af911991a8351c589666b529e417
E77	13	4	OO	4,2,2,5	9,5,5,9	10,11	ebf5024018448e2f233d67344dbd1160e65ae4720077cd7aeb32d660fe3e5085
E77	13	5	BO	5,1,1,6	8,6,6,8	8,9	7b31c489ad830b784c14bfe0e199c1b9429efcfdb56e75a3df5e9e13a4572450
E77	13	5	OO	5,1,1,6	8,6,6,8	9,10	bff957b2e4734a2d06745639603b701559f3f0d227d2621d30f31c81a014665d
E77	13	6	OO	6,0,0,7	7,7,7,7	8,9	3b2e9d5c4b33bce51b3438c9838d7581be75f86be3f173c0349b10fb7c4d9ef3
C8	9	0	B	0,6,6,1	9,5,5,9	29	612dd1b443f8e59717af8f305f740b2a0f17b2eea492b2626aa6f08699226e34
C8	9	0	O	0,6,6,1	9,5,5,9	34	6a23b98c1a67cd02da42899f219855b8c11b751cb8c404e872443740bb213e92
C8	9	1	B	1,5,5,2	8,6,6,8	29	0700a1ca43c32a6c2d545e928c9c339d02382998926383b284cc8fccb5071f2c
C8	9	1	O	1,5,5,2	8,6,6,8	35	cb8aa44673edfd47b9ad2c56c7ba70a0aeadf205219e2fcee7d0462effb75cf5
C8	9	2	B	2,4,4,3	7,7,7,7	29	5d9728eaed69860ba275adc0f9c30f47e2f9d479a55fe2424181eb26b5c3c9cb
C8	9	2	O	2,4,4,3	7,7,7,7	36	508d7297c304b3e1b9f7229c63a643cb9cba51f4b1515a9136521813af134310
C8	9	3	B	3,3,3,4	6,8,8,6	29	407ec3cf0a721bdadc29778531e80d1047e6be4d3cff8fa69944ab1230d187da
C8	9	3	O	3,3,3,4	6,8,8,6	37	229e7c95ee52b0ba110e73546ecacc0247b3d485b425cb2b43c92da779541cbb
C8	9	4	B	4,2,2,5	5,9,9,5	29	8733fccbe2cd364155043a54febf59dc60559afe933a47fd52dab29bece12c6d
C8	9	4	O	4,2,2,5	5,9,9,5	38	3a5ae9049b4e63bba65d1043531eb20c63cd01b7305922b941000a31aee79cbf
C8	9	5	B	5,1,1,6	4,10,10,4	29	cc7978f9a0ae41e3b0f352c876782f4bef58200abc3eb4bb1138f52d0b21c6b6
C8	9	5	O	5,1,1,6	4,10,10,4	39	79b8f9bdb8c66e48a9f39796b2e195245dbb711385c1f1764621ba38a734f4b2
C8	9	6	B	6,0,0,7	3,11,11,3	29	f67c602a2db963a0c0b5f88a0b098ed74176c8cfee9a5ad6a18c49032f6d62d1
C8	9	6	O	6,0,0,7	3,11,11,3	40	9fb6b046eadadbdadd7323dee449b62cb751baa70ef9d40e1728c8ec0de90c7f
C8	10	0	B	0,6,6,1	10,4,4,10	29	ff12afa9a9cc5b1529b7ef1f654810f2acc57a3268fda715666032a2d75c0b98
C8	10	0	O	0,6,6,1	10,4,4,10	33	c1e90d5ce7f4c5297c1f5577f5c62f4472111a2a2e8ede1dfd99f6aa66f805ed
C8	10	1	B	1,5,5,2	9,5,5,9	29	1eae93a021d966e0ab1fa2fefe7c649b90cfc48677d88ccdc9f1d9a888648836
C8	10	1	O	1,5,5,2	9,5,5,9	34	aedf46a0bf51cd372eead17e4b00272d9d190e344e3fa5640a6d5dec1c81875c
C8	10	2	B	2,4,4,3	8,6,6,8	29	f080beed3ea09f3a38bd55df0341608423edfab672d7d15ba7836d8c25844b75
C8	10	2	O	2,4,4,3	8,6,6,8	35	426ed69e22a735c31362779c124d8ef93f17b78c198a7d38f6fafcaeb107e57a
C8	10	3	B	3,3,3,4	7,7,7,7	29	4a71f030d21b1d78fbfde0633a59e9fbd7d6dc2e0ccf2551caa387a91e01282b
C8	10	3	O	3,3,3,4	7,7,7,7	36	82c48d66d6290fe8fb1e9bddd98349a10561fae1bdde0e21d0bf170d607cef34
C8	10	4	B	4,2,2,5	6,8,8,6	29	5bd6385393ab22eafd55e6e603bb89fdc94fd81247613502d267f44359f7a6a0
C8	10	4	O	4,2,2,5	6,8,8,6	37	7629a23edbb2d2a751bf8e811fb9033dfac31d9c2c64294639cbf8751662281a
C8	10	5	B	5,1,1,6	5,9,9,5	29	bdb11e624559d290f8b2633f5dd895eb667fcf5642458ccd494df84886598c5f
C8	10	5	O	5,1,1,6	5,9,9,5	38	4487ae90353f543edff7da1198c7b105e3b910cebcffb3a2f19271a8767b2128
C8	10	6	B	6,0,0,7	4,10,10,4	29	a8efead5246a9ccd772eee9f29be0e2ece73c2b893d2afa6182173d673bdac4b
C8	10	6	O	6,0,0,7	4,10,10,4	39	d591b87c5baa970edd0d8653ba1d2a1f416be5ee168123ee935aa718120b12bd
C8	11	0	B	0,6,6,1	11,3,3,11	29	01e753877789ae495576c2df344d3e38668bf3b08e4851b246e9038c9cc9ad63
C8	11	0	O	0,6,6,1	11,3,3,11	32	25175e6b0596cd157180c7195b2bfcd457431638f92e71409a2eff52f7f35d2f
C8	11	1	B	1,5,5,2	10,4,4,10	29	04113908709ddea7f6ee9c5531570e671a9682b42408f807b6b958a5bd76c34d
C8	11	1	O	1,5,5,2	10,4,4,10	33	7d28995e4dbf954c71f07f9342d40d68a1d9b89821f8e914a5ef339b51876845
C8	11	2	B	2,4,4,3	9,5,5,9	29	90abf8184fe253cb5f747baa30b6fffec6777927cfbb085f19c1faf140790246
C8	11	2	O	2,4,4,3	9,5,5,9	34	f75e6c4b1626347a9c379e4a72005c529fae391213eb54ececfc2c7b3a26a0e2
C8	11	3	B	3,3,3,4	8,6,6,8	29	a4b4338626d436f37eedc45cd1c62de890d2274de4ded9b75c9ca77d589c6f52
C8	11	3	O	3,3,3,4	8,6,6,8	35	55c6e04a8b110c7865e9fbb057aab2d42186f973fe8d5bf4d60fa602e6b7ee1f
C8	11	4	B	4,2,2,5	7,7,7,7	29	2d8274b389e5b3e07bc7ee098f3c086875736fbc78e6d39822b2ecffa8dab546
C8	11	4	O	4,2,2,5	7,7,7,7	36	ff083e842a66f5a4af690fddbb3135a9d434455f0d2afa2a71bde2e1c8c9c27a
C8	11	5	B	5,1,1,6	6,8,8,6	29	ef65146041b90cab1a3d86f41adca190ce90900842e00e2a80d6847408f984ec
C8	11	5	O	5,1,1,6	6,8,8,6	37	98ed21a1e995ea40fc0dd6ddc5778012a04715e785532833e47aab5cb78f8c61
C8	11	6	B	6,0,0,7	5,9,9,5	29	a69905fbed237a14b4f2c2656992b6ed2d7a790d946d1df20d2e2a1fb86709ac
C8	11	6	O	6,0,0,7	5,9,9,5	38	88e5b97a80c8eb2fa4ab2440b9342e9e2dac832873aa1c831cf3e8b61c6529a0
