q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
37	5	5	0bd7bf	1fffff	613ee1a4c3623d394683a	394beb343ee31611199c9
37	6	3	0bd7ef	1fffff	66b42394333d1fb619d6f	b6644e49b196e1331e33c
37	7	3	0dbfff	0fbfff	e1ee43913994cb2367367	96c46113e4b361a63ceb0
37	7	4	0dbfff	0fbfff	e6cb146e13364e7465cef	43163e1169b3be794e438
37	8	0	0ddbbf	1fffff	9bc4332b91761fb39de15	336169c3c3611c6b19ee6
37	8	3	0ddbbf	1fffff	643b1b21e3d96ab317b10	196366133eccc96e4463b
37	9	4	0ddbf7	1fffff	c46763c431fb12e69a392	16bbbb1344b1116b1ee43
37	10	1	0dfeff	0dffff	133b43b6deb6e149c51e2	933e1ec641363b41ea942
37	10	2	0dfeff	0dffff	1114943ea66eecb335ce7	696416c313cec1e9bde17
37	10	3	0dfeff	0dffff	6b9319368e3616b3c036d	6c1b64b1c316c6611fbb2
37	10	4	0dfeff	0dffff	136c64b37b36116e189ef	3c9399b1364614e3b5e37
37	10	5	0dfeff	0dffff	13e31e6681ecc346e764a	cb3619694c1c16e3bf16d
37	11	1	0eefff	0fefff	1b3e6336e9e38b1429190	b39116c1639e26336cc4a
37	11	4	0eefff	0fefff	3636363e63e45e198bcc5	b34b9414eb4e241c63e62
37	11	5	0eefff	0fefff	b43e936136942c9e2361f	149931636c3e2c6c96cca
37	12	0	0f7bff	0ffbff	939931c6e45416cfeb3e7	3411eeeb4ede341b64162
37	12	4	0f7bff	0ffbff	e66e4b641b0e1c68e4332	34c36b4e3c76169c6619f
37	13	1	0f7f7f	0f7fff	331c9462ec41b6e7ee960	61be34b3c4ee66c261c15
37	13	3	0f7f7f	0f7fff	364ec61f6633313d6b998	1141114b36e36cbf96eb7
37	13	4	0f7f7f	0f7fff	33c4b16d96e13b376b16d	344ec1e93933be4a66345
37	14	0	0fbeff	0ff7ff	34c4eb13261e9e84b1c6a	e43e46c619b21e61933e0
37	14	2	0fbeff	0ff7ff	6c6ce43e83413eac166e5	61ee9bbc33c2191e1446d
37	14	4	0fbeff	0ff7ff	eb6349ec0e3166236c468	3e91bee1b1154b44b3637
37	14	5	0fbeff	0ff7ff	9ec666138331e326bc41a	e3619cb3461db411e9c3a
37	15	2	0fdfbf	0fdfff	c3911b2eb163e836146e8	ece13149693960ec1c36a
37	16	0	0fffff	0dbeff	99663ce4bbb3e4411ee10	396931132319c973e5be2
37	16	1	0fffff	0dbeff	e646e3116e4c4113ebb9f	13b93163f63e64d31d698
37	16	2	0fffff	0dbeff	63be961e39c46c1e39360	e69bb3418e11135318eed
37	16	3	0fffff	0dbeff	e933666c3163e14bb44ed	e633136406e19c76c8c6a
37	16	4	0fffff	0dbeff	39c36e4e669163331bcb5	c6b396b37e4141733a91d
37	17	0	0fffff	0dbfdf	99eb643b16e3e436c91c0	14e9e2636b6493d31f1c2
37	17	1	0fffff	0dbfdf	e6b34116e11e4e9c36cb7	6cee953461b33c5632e4d
37	17	2	0fffff	0dbfdf	4b19936eb3e3416cee610	ee343fe941416ed94d36d
37	17	3	0fffff	0dbfdf	9661e33c9634636ceb1c7	1119bfe463911173ba3b7
37	17	4	0fffff	0dbfdf	c6b16e33e43e696434ec5	33619f669cc91b24473e7
