q	orbit	case	a_mask_hex	b_mask_hex	states_a	states_b
5	10	3	000021	002021	e0275c5af7022a52f8728	6ff50c2da725f92077258
5	10	4	000021	002021	6d77510d0afd72f227a87	67f5762208ad830a0f0a5
5	10	5	000021	002021	1207f370df257aaa552df	4f277c00ddd7ae55d7ad2
5	11	0	000041	000049	c02dfa4a07f228a27d855	12d3ff1d7a7d55a225f07
5	11	1	000041	000049	c07afa62075272d22d8d8	12a1ffe87f7255a525f00
5	11	2	000041	000049	e5782d62a0f0d5d77f282	3503d592f5802fa2fad5d
5	11	3	000041	000049	477002ea0777d2a22d8ad	1f540fe82f7052a527fa5
5	11	4	000041	000049	6a722742dd072828082fa	6026a067ffd07a805a00a
5	11	5	000041	000049	655ff2120d58af22a770f	3801f217d85a2a2d08a82
5	12	0	000081	004081	4d50d5f427ffa28aa72d0	3d8da5290a22f7170522f
5	12	1	000081	004081	1ada502bfd2da0727d707	1570f8ac0f222532aa528
5	12	2	000081	004081	1adaaf2b828d257702200	657a8d01dffd206dff525
5	12	3	000081	004081	1d70aafb77ada22072005	15728d7c0fad206f5a727
5	12	4	000081	004081	b08aaa71d220772a5f200	657587fc5727d24dfa2f0
5	12	5	000081	004081	1adaa02b272da87072200	15728dfc0f2d8a3f5a525
5	13	0	000101	000111	4a002f7597fa0d20d2aa8	3fd03a8ac25252d5272d7
5	13	1	000101	000111	9552a0f29f7250f02d7af	6288ed0062a0d72820a72
5	13	2	000101	000111	e52d7df2e7ff7a0555280	17dfe72ae85d0d0df2557
5	13	3	000101	000111	60727f87e052d8f572a2d	150aed8067f5570fa227f
5	13	4	000101	000111	60a5d2723ff578af05a02	38a0427260d288522a8f7
5	13	5	000101	000111	328227d76288287d2d228	1a0feaf5ef5a55f0a0500
5	14	0	000201	001041	b2258a2d017f7a7d88d20	35a57a1522da3f0df2a00
5	14	1	000201	001041	e822587703f58da22ad20	4da2f2605faf1007a572d
5	14	2	000201	001041	1a7dd57281af700f2d27a	45da2ae82f821d0f05a20
5	14	3	000201	001041	60220f75a3aa828820a20	3df5286d2722b500fa785
5	14	4	000201	001041	472a282d0622af70882a0	15005ae5a8f732777fda0
5	14	5	000201	001041	3a2d587723a82d05202af	4da5d2452fafe80f28520
5	15	0	000401	000421	100a85ad8ab22f5220f78	e852d4f27f17ad20f5252
5	15	1	000401	000421	42aa20528ab020522dff8	e7f7de7a8f1075d055222
5	15	2	000401	000421	92222d577d6d7ffdf7805	ea2aab2a0510d070da0d0
5	15	3	000401	000421	4057a7da089a22202f2f7	37a2710858e0d22af50a7
5	15	4	000401	000421	3f285757adb02d227af05	477f26ffd0428d7a5a025
5	15	5	000401	000421	b2255557ffcf7d225af02	1f7a2b228d385d58da020
5	16	0	001049	000001	9d7170ea7858c28227fd2	bf55025f52f2da2a20f50
5	16	1	001049	000001	60d37238d552e57fad0af	622200057fddf2a82785a
5	16	2	001049	000001	627328c2dfa7607dddd75	e52000d22daa0805fa0aa
5	16	3	001049	000001	15a12f478f7237da20a5f	607d5af0d8a77d520722f
5	16	4	001049	000001	407375385222e57faddaf	e527200557f8f2a7708da
5	16	5	001049	000001	6f71af4ad027425f282d2	35f0d2d5578d8f2af2f55
5	17	0	001241	000001	6ad7a8470305efd22f58d	e05fa820d2a50f7222258
5	17	1	001241	000001	9f00a03a86d53da7d2722	10a52277d0f28f70da52a
5	17	2	001241	000001	60af22e5f1a842005f0aa	60288dad28d0227da0228
5	17	3	001241	000001	1f02503ad68ab7a7d7022	4faa5d7d70022a7fd7520
5	17	4	001241	000001	60a5af607e5048202fa2f	42f72af827228d8205578
5	17	5	001241	000001	6f2a2a6f5350c70d2852f	12f7f8ddd755fd820752a
37	0	0	03ffff	0bffff	ec9c364319164b369b2df	ce1636316994c63c1e23a
37	0	1	03ffff	0bffff	6e131c3c3b6199b1be725	e3c643e6131639314ea98
37	0	2	03ffff	0bffff	ec66334169e9c431e32a8	e31c3633ce1699ee4954d
37	0	3	03ffff	0bffff	961334eebb6134e3e1857	31444c3eb46be3116ea92
37	0	4	03ffff	0bffff	61eb3c3963e64b366cd05	b691c939436363c4392b2
37	0	5	03ffff	0bffff	e4663c43614e1463eeafd	e3b3466e93cce4191924d
37	1	0	07cfbf	1fffff	e16c6ba364b175c3c93dd	ee11ece39666613c3644c
37	1	1	07cfbf	1fffff	6161e3239be975ccce375	4149e96c4e6e33e34e361
37	1	2	07cfbf	1fffff	cb4b632b116175e6ce1df	993e13e1c11cee64b3469
37	1	3	07cfbf	1fffff	e11cc6a369b175b31e377	46e1ece3666be11c4b443
37	1	4	07cfbf	1fffff	13c36351669b253ebbc28	3b334169b1c14ec16b66b
37	1	5	07cfbf	1fffff	633661f1be1972cc1b17a	4c1b31ce396bc6e669c11
37	2	0	07cfdf	1fffff	993e1acb93b1271e4c607	1914c9e636c39133e366e
37	2	1	07cfdf	1fffff	c9eb6f11e4e12714396f7	11ce6193c6431e6bb36b1
37	2	2	07cfdf	1fffff	e31b1dc6e1ec571436ba7	111e49ee114e6ebbb3c41
37	2	3	07cfdf	1fffff	4e6e40cc3163276c66bad	cb1e9b66633319e4e4143
37	2	4	07cfdf	1fffff	b16b3563e4cc726e93902	4c3e66634b1c199be6343
37	2	5	07cfdf	1fffff	619b1a66e3e4071c3e3d7	164cceee114169bbbe341
37	3	0	07fdff	07ffff	1996333368b314eeb9cd5	ee16439336991633c3ed5
37	3	1	07fdff	07ffff	c3e43ce6424916ce663ad	63e9c1b119336b3c63925
37	3	2	07fdff	07ffff	66e9166b381c331ecc6a0	e9bc636ec41c61c196c22
37	3	3	07fdff	07ffff	9346c361329eb3b3e9157	4633669493ee19b113c7f
37	3	4	07fdff	07ffff	393e1e9bb56433e14b602	19b6cc1b4346b6143ee27
37	3	5	07fdff	07ffff	46ec66ce1833661ec61f7	6c16331e99cb93c196e70
37	4	0	0affff	0effff	1e3b99b91ee494317324f	bc1663616ee16c9c2e430
37	4	1	0affff	0effff	e43e96bc6641193e032e8	b666636933c31c9c5e13d
37	4	2	0affff	0effff	3494eb91c4ee3136242ea	e91366c93cc6ce63d3915
37	4	3	0affff	0effff	16e3ce1bc44e4e637b562	c36e14369c6e14c3a64b2
37	4	4	0affff	0effff	666346c66963cccc2c2e7	b331314414be1b6bae4e5
37	4	5	0affff	0effff	4633399334469eeea3d12	3196c436691e1cb3dc96f
37	5	0	0bd7bf	1fffff	463e460bc992e86ebc210	1993131b4ce116eb366e3
37	5	1	0bd7bf	1fffff	13bce35494b2e76e912e0	161eb91b3c3416e933693
37	5	2	0bd7bf	1fffff	63b1e3539eb2471e9c290	111eb16b1c99cce333696
37	5	3	0bd7bf	1fffff	4ece3379661fb291365c7	ec46eeee4c39133644466
37	5	4	0bd7bf	1fffff	64c96ba433623de1b124f	6cc31b3e139466b16bc46
37	5	5	0bd7bf	1fffff	613ee1a4c3623d394683a	394beb343ee31611199c9
37	6	0	0bd7ef	1fffff	63b6d1e134cd65b6bc81f	31e693e13eb6613bc4911
37	6	1	0bd7ef	1fffff	b4ee5b31e4b512933c292	3bce39b69416e163113e4
37	6	2	0bd7ef	1fffff	6c142391366defec4976f	4c349169b963e11e1e3ec
