CERTIFICATE stable_transitivity_mu8_v1 n=8 classes=96 target=13/20
# CLASS <source-index> tournament=<mask> dual=<edge-indices> primal=<order-index:num/den,...>
CLASS 2203 tournament=251460047 dual=2,3,4,5,7,8,9,10,13,14,15,16,17,19,20,21,22,23,24,26 primal=1:3/380,1909:1/380,2162:3/95,4473:9/190,6916:1/20,7149:1/20,8640:1/380,8764:9/190,8800:17/380,8833:1/20,11900:1/190,11992:3/95,12600:1/20,17850:7/380,18196:11/380,19037:1/20,21237:1/95,23221:1/20,23524:41/380,23547:1/380,25569:3/76,28810:9/190,30246:2/95,30600:3/380,35432:63/380,38313:1/95,38682:1/380,38760:3/190
CLASS 2208 tournament=199162319 dual=2,3,4,5,7,8,9,10,14,15,16,18,19,20,21,23,24,25,26,27 primal=98:59/1660,1056:73/1660,2766:7/1660,5925:69/1660,8658:13/83,12960:1/20,14704:12/415,16926:19/415,17483:27/1660,18432:19/1660,18480:6/415,18492:19/415,18755:1/20,21549:1/20,23524:193/1660,24923:59/1660,25490:14/415,25569:27/830,30875:1/830,31715:7/830,32156:1/20,32380:29/1660,35282:3/1660,35432:4/83,37933:7/1660,38029:1/166,38880:1/20
CLASS 2217 tournament=266267023 dual=1,2,3,4,5,6,7,8,9,10,11,12,15,17,18,19,20,21,24,27 primal=1056:1/20,1146:1/65,2196:3/260,5913:29/260,8640:1/20,8658:3/130,8850:3/130,13026:7/260,13572:1/26,14703:7/260,17824:1/20,17850:1/20,18192:1/20,23251:1/260,23616:1/130,23622:1/20,23643:1/20,25490:7/260,28873:1/20,29706:3/260,30430:3/130,32176:3/130,32289:1/20,34566:3/65,35282:9/260,35432:3/65,37933:1/20
CLASS 2220 tournament=251459983 dual=2,3,4,5,7,8,9,10,13,14,15,16,17,19,20,21,22,23,24,26 primal=1009:1/25,2162:1/25,6930:3/200,6932:7/200,7000:1/20,7149:1/50,8833:3/100,11992:1/20,12600:1/25,17722:1/200,17850:1/200,18576:9/200,19244:1/200,19384:1/100,19845:1/50,19912:3/100,21393:1/20,23250:7/100,23524:1/20,25569:1/20,26252:1/100,28810:1/20,30138:1/100,30244:1/20,31560:1/25,35432:9/50
CLASS 2221 tournament=251455951 dual=2,3,4,5,8,10,11,12,13,15,16,17,19,20,21,22,23,24,26,27 primal=944:1/40,1909:1/20,2196:1/40,6930:1/40,8640:1/20,8644:1/40,11821:1/20,11900:1/20,12399:1/40,12600:1/20,12964:1/20,17850:1/40,18576:1/40,19845:1/20,22770:1/40,23221:1/20,25569:1/20,28914:1/20,29424:1/20,30840:1/8,35432:1/20,37162:1/20,38349:1/40
CLASS 2226 tournament=199162255 dual=2,3,4,5,7,8,9,10,14,15,16,18,19,20,21,23,24,25,26,27 primal=96:1/90,2644:1/30,5913:1/20,6995:1/20,8866:1/60,9241:1/90,11872:1/180,14432:1/20,17483:1/20,18432:7/180,18480:1/20,21105:1/36,21203:1/90,21549:1/20,23250:1/60,23251:1/20,25232:1/20,28800:2/45,28837:1/20,30430:1/20,30604:1/45,31560:1/60,32380:7/180,35432:7/45,38880:1/20
CLASS 2227 tournament=199158223 dual=2,3,4,5,7,8,9,10,14,15,16,18,19,20,21,23,24,25,26,27 primal=1056:1/20,2766:47/1280,8658:53/320,11821:11/64,12960:3/640,13396:1/1280,18064:29/1280,19031:27/1280,21203:19/640,21549:41/1280,23617:1/80,24426:1/640,24923:1/20,24963:37/1280,25490:1/20,25633:3/640,26400:1/20,28662:1/640,28873:17/1280,30430:1/20,30875:3/256,32176:23/1280,32380:13/640,35282:23/640,37933:29/1280,38880:1/20,38889:7/160
CLASS 2228 tournament=199031247 dual=2,3,4,5,7,8,9,10,14,15,16,18,19,20,21,23,24,25,26,27 primal=160:1/20,193:3/65,978:1/390,2265:1/390,4473:1/26,5763:1/130,5925:1/260,8658:9/260,8770:7/390,9282:9/260,9520:1/20,11872:4/195,12873:7/156,16856:7/156,18192:5/156,18755:1/20,19031:1/260,21549:1/20,23524:71/390,25490:1/65,25569:1/20,26400:1/39,30875:1/20,34566:1/195,35432:3/130,36752:17/780,37034:1/20,38880:11/260
CLASS 2290 tournament=266302863 dual=1,2,3,4,5,6,7,8,9,11,14,15,16,17,18,19,20,21,22,24 primal=1:7/440,96:7/220,1754:2/55,1970:1/440,2190:1/20,2212:1/20,5913:1/220,5925:3/88,6777:1/20,8520:41/440,12765:1/20,12816:1/20,12873:9/440,17097:13/440,17850:1/20,18489:1/88,18492:1/20,23616:19/440,25352:7/440,27133:1/20,27219:1/20,27249:1/88,28837:1/55,31560:1/20,33313:1/55,34566:9/440,35434:19/440,38016:1/20
CLASS 2295 tournament=251491791 dual=2,3,4,5,7,8,9,11,13,14,15,16,17,19,20,21,22,23,24,27 primal=1905:1/380,2107:1/190,2162:1/95,2190:1/20,2194:1/20,5042:1/95,5760:1/38,6858:1/20,6916:1/20,8018:7/190,8113:1/20,12091:1/38,12098:1/20,12184:17/380,13684:1/20,17806:3/76,18576:1/76,19403:7/380,23524:29/190,23771:1/95,25296:1/380,25361:3/95,28810:1/20,29850:1/38,31000:1/95,35434:7/95,37029:17/380,38313:1/76
