CERTIFICATE stable_transitivity_residue_profiles_v1 n=8
# CLASS <source-index> tournament=<mask> dilation=<d> stabilizer=<a> deficit=<delta> candidates=<count> profile=<order-index:multiplicity,...>
CLASS 1525 tournament=199160743 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=723:1,1392:1,6995:1,9360:1,11869:1,12613:1,17730:1,20473:1,25684:1,26379:1,29002:1,31149:1,34594:1,37876:1
CLASS 1525 tournament=199160743 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=0:1,98:1,2025:1,6392:1,13146:1,16953:1,17652:1,18875:1,23113:1,24114:1,24545:1,25683:1,31115:1,31416:1,34602:1,37876:1,38880:1
CLASS 1526 tournament=199156711 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=4320:1,6105:1,17656:1,20687:1,28206:1,31835:1,32178:1,35610:1
CLASS 1526 tournament=199156711 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=1763:1,4320:1,5910:1,7306:1,12834:1,14733:1,19012:1,23112:1,25683:1,29400:1,37957:1
CLASS 1526 tournament=199156711 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=3:1,1921:1,11821:1,12618:1,14720:1,14904:1,18072:1,19891:1,20738:1,23130:1,28993:1,30840:1,31146:1,39061:1
CLASS 1526 tournament=199156711 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=4:1,881:1,1360:1,3816:1,4200:1,6630:1,11931:1,13056:1,18875:1,23521:1,24544:1,24916:1,26221:1,26353:1,32154:1,34713:1,39075:1
CLASS 1527 tournament=199029735 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=336:1,4666:1,8877:1,11043:1,16860:1,17956:1,23562:1,25776:1
CLASS 1527 tournament=199029735 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=3826:1,5043:1,9512:1,12915:1,16860:1,17734:1,20266:1,25698:1,26221:1,31338:1,38977:1
CLASS 1527 tournament=199029735 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=600:1,1872:1,3696:1,5640:1,13132:1,17872:1,17970:1,20745:1,22693:1,23117:1,25200:1,31150:1,32385:1,36881:1
CLASS 1527 tournament=199029735 dilation=5 stabilizer=6 deficit=1 candidates=5024 profile=624:1,4200:1,9512:1,10961:1,11820:1,13110:1,20109:1,20658:1,23521:1,23865:1,24513:1,24976:1,25233:1,25698:1,25956:1,31132:1,37938:1
CLASS 1533 tournament=268235655 dilation=2 stabilizer=3 deficit=4 candidates=35296 profile=120:1,1081:1,7504:1,12238:1,17653:1,23622:1,31600:1,39850:1
CLASS 1533 tournament=268235655 dilation=3 stabilizer=4 deficit=3 candidates=25952 profile=724:1,11845:1,11924:1,18450:1,23101:1,26225:1,29016:1,31418:1,32112:1,35280:1,39602:1
CLASS 1533 tournament=268235655 dilation=4 stabilizer=5 deficit=2 candidates=14368 profile=1:1,2:1,5937:1,6784:1,11820:1,19741:1,23010:1,23049:1,29026:1,30144:1,31417:1,32160:1,34594:1,38229:1
