CERTIFICATE stable_transitivity_m6_v1 n=8 classes=96 orders=20 margin=13
# CLASS <source-index> tournament=<mask> profile=<order-index:multiplicity,...>
CLASS 4803 tournament=260009371 profile=1027:1,1056:1,2208:2,6972:1,8434:1,8640:1,12066:3,18331:1,18570:1,18576:1,21184:1,23387:1,29524:1,32450:1,36162:1,36253:1,38233:1
CLASS 4806 tournament=257916315 profile=0:1,375:1,732:1,864:1,5943:1,6879:1,6912:1,8508:1,12008:1,14748:1,23201:3,24553:1,30757:1,35448:1,37533:1,38053:3
CLASS 4808 tournament=257785307 profile=8:1,978:1,2211:1,2224:1,3481:1,4488:1,5912:1,7011:1,8508:1,9682:1,13926:1,14149:1,18781:2,21469:1,24660:1,26076:1,29830:2,30872:1
CLASS 4886 tournament=267773403 profile=48:2,51:1,3520:1,5916:1,12680:1,13271:1,13730:1,15429:1,17730:1,18771:1,23476:1,27939:1,30697:2,32466:1,36144:1,36240:1,36513:1,37187:1
CLASS 4921 tournament=251063771 profile=966:1,1370:2,4332:1,6225:1,6964:1,8434:1,8653:1,11835:1,15589:1,17769:1,20234:1,21324:1,23616:1,23681:1,27936:1,27940:1,31940:2,36144:1
CLASS 4943 tournament=267838907 profile=966:1,1113:1,3672:1,3787:1,5880:1,6541:1,11824:1,12842:1,17856:1,19536:1,21057:1,23589:1,24496:1,27976:3,30424:1,31161:1,31182:1,36240:1
CLASS 5029 tournament=249525707 profile=456:1,4680:1,6844:1,6877:1,8077:1,9513:1,11840:1,14330:1,14361:1,15416:1,18501:1,18770:1,23521:4,31484:1,35287:1,37474:1,37929:1
CLASS 5047 tournament=249521611 profile=2653:1,4320:2,6840:1,8077:1,8146:1,14704:1,14865:1,15276:1,17762:1,17796:1,18041:1,18331:1,23538:2,27229:1,28846:1,30912:1,36179:1,36248:1
CLASS 5163 tournament=265156067 profile=460:1,1032:1,5910:1,6772:1,12425:1,13396:1,13976:1,18373:1,20169:1,20736:1,23137:1,25636:1,29889:1,31595:1,31608:1,32400:1,32764:1,36313:1,37021:2
CLASS 5172 tournament=183498211 profile=76:1,111:1,3604:3,5984:1,6858:1,12422:1,12765:1,17652:1,18041:1,19800:1,20353:1,21062:1,26930:1,28579:1,35002:1,37045:1,37312:1,38746:1
CLASS 5188 tournament=267316643 profile=1050:1,2168:1,5913:1,8799:2,12688:1,14558:1,15297:1,17450:1,17740:1,19470:1,19804:1,20738:1,21324:1,23052:1,29538:3,31986:1,32361:1
